model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
q4b,high_acc,dola,first,0.2,0.20035460992907803,0.18833333333333332,0.008849557522123894,0.017142857142857144
q4b,high_acc,dola,first,0.4,0.40070921985815605,0.37666666666666665,0.03982300884955752,0.035398230088495575
q4b,high_acc,dola,first,0.6,0.601063829787234,0.565,0.0471976401179941,0.0471976401179941
q4b,high_acc,dola,first,0.8,0.8014184397163121,0.7533333333333333,0.06637168141592921,0.07079646017699115
q4b,high_acc,dola,first,1.0,1.0,0.94,0.1099290780141844,0.10815602836879433
q4b,high_acc,deco,first,0.2,0.20035460992907803,0.18833333333333332,0.008849557522123894,0.07079646017699115
q4b,high_acc,deco,first,0.4,0.40070921985815605,0.37666666666666665,0.03982300884955752,0.09292035398230089
q4b,high_acc,deco,first,0.6,0.601063829787234,0.565,0.0471976401179941,0.10619469026548672
q4b,high_acc,deco,first,0.8,0.8014184397163121,0.7533333333333333,0.06637168141592921,0.11283185840707964
q4b,high_acc,deco,first,1.0,1.0,0.94,0.1099290780141844,0.1347517730496454
q9b,low_acc,vcd,sequence,0.2,0.2,0.19666666666666666,0.8050847457627118,0.7033898305084746
q9b,low_acc,vcd,sequence,0.4,0.4,0.3933333333333333,0.7584745762711864,0.6864406779661016
q9b,low_acc,vcd,sequence,0.6,0.6,0.59,0.731638418079096,0.6807909604519774
q9b,low_acc,vcd,sequence,0.8,0.8,0.7866666666666666,0.7436440677966102,0.6991525423728814
q9b,low_acc,vcd,sequence,1.0,1.0,0.9833333333333333,0.7508474576271187,0.6949152542372882
q9b,low_acc,m3id,sequence,0.2,0.2,0.19666666666666666,0.8050847457627118,0.788135593220339
q9b,low_acc,m3id,sequence,0.4,0.4,0.3933333333333333,0.7584745762711864,0.7796610169491526
q9b,low_acc,m3id,sequence,0.6,0.6,0.59,0.731638418079096,0.7711864406779662
q9b,low_acc,m3id,sequence,0.8,0.8,0.7866666666666666,0.7436440677966102,0.7648305084745762
q9b,low_acc,m3id,sequence,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7491525423728813
q9b,low_acc,dola,sequence,0.2,0.2,0.19666666666666666,0.8050847457627118,0.8389830508474576
q9b,low_acc,dola,sequence,0.4,0.4,0.3933333333333333,0.7584745762711864,0.809322033898305
q9b,low_acc,dola,sequence,0.6,0.6,0.59,0.731638418079096,0.7542372881355932
q9b,low_acc,dola,sequence,0.8,0.8,0.7866666666666666,0.7436440677966102,0.7521186440677966
q9b,low_acc,dola,sequence,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7593220338983051
q9b,low_acc,deco,sequence,0.2,0.2,0.19666666666666666,0.8050847457627118,0.7627118644067796
q9b,low_acc,deco,sequence,0.4,0.4,0.3933333333333333,0.7584745762711864,0.7584745762711864
q9b,low_acc,deco,sequence,0.6,0.6,0.59,0.731638418079096,0.748587570621469
